Name	Variant	Caller	CallerVariant	Count	InputWidth:Average	InputWidth:SecondMoment	InputWidth:Variance	InputWidth:Sum	InputWidth:Min	InputWidth:Max	ExtraWidth:Average	ExtraWidth:SecondMoment	ExtraWidth:Variance	ExtraWidth:Sum	ExtraWidth:Min	ExtraWidth:Max	ReturnWidth:Average	ReturnWidth:SecondMoment	ReturnWidth:Variance	ReturnWidth:Sum	ReturnWidth:Min	ReturnWidth:Max	BorrowedWidth:Average	BorrowedWidth:SecondMoment	BorrowedWidth:Variance	BorrowedWidth:Sum	BorrowedWidth:Min	BorrowedWidth:Max
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Implementation.Interface_Clifford	Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalPauli	Body	6	1	1	0	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalPauli	Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.X	Body	6	1	1	0	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.X	Body	Quantum.ResourcesTutorial.ApplyZebraOracle	Body	6	1	1	0	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Implementation.Interface_Clifford	Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalH	Body	8	1	1	0	8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalH	Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.H	Body	2	1	1	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.H	Body	Quantum.ResourcesTutorial.ApplyZebraOracle	Body	2	1	1	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalH	Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.PauliZFlip	Body	6	1	1	0	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.PauliZFlip	Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCX	Body	4	1	1	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Implementation.Interface_RFrac	Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalRFrac	Body	42	1	1	0	42	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalRFrac	Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalRzFrac	Body	42	1	1	0	42	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalRzFrac	Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCZ	Body	12	1	1	0	12	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Implementation.Interface_CX	Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalCX	Body	60	2	4	0	120	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalCX	Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ExpFracZZ	Body	48	2	4	0	96	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalRzFrac	Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ExpFracZZ	Body	24	1	1	0	24	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ExpFracZZ	Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCZ	Body	12	2	4	0	24	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalCX	Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ExpFracZZZ	Body	12	2	4	0	24	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ExpFracZZ	Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ExpFracZZZ	Body	6	2	4	0	12	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ExpFracZZZ	Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCZ	Body	4	3	9	0	12	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCZ	Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCX	Body	4	3	9	0	12	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Implementation.Interface_Clifford	Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalH	Adjoint	8	1	1	0	8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalH	Adjoint	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.PauliZFlip	Adjoint	6	1	1	0	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.PauliZFlip	Adjoint	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCX	Body	4	1	1	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCX	Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.AndLadder	Body	2	3	9	0	6	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.AndLadder	Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.MultiControlledUTwoTargets	Body	2	3	9	0	6	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCX	Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.MultiControlledUTwoTargets	Body	2	3	9	0	6	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.PauliZFlip	Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCX	Adjoint	2	1	1	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalRzFrac	Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCZ	Adjoint	6	1	1	0	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ExpFracZZ	Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCZ	Adjoint	6	2	4	0	12	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ExpFracZZZ	Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCZ	Adjoint	2	3	9	0	6	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCZ	Adjoint	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCX	Adjoint	2	3	9	0	6	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.PauliZFlip	Adjoint	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCX	Adjoint	2	1	1	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCX	Adjoint	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.AndLadder	Adjoint	2	3	9	0	6	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.AndLadder	Adjoint	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.MultiControlledUTwoTargets	Body	2	3	9	0	6	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
