Name	Variant	Caller	CallerVariant	Count	InputWidth:Average	InputWidth:SecondMoment	InputWidth:Variance	InputWidth:Sum	InputWidth:Min	InputWidth:Max	ExtraWidth:Average	ExtraWidth:SecondMoment	ExtraWidth:Variance	ExtraWidth:Sum	ExtraWidth:Min	ExtraWidth:Max	ReturnWidth:Average	ReturnWidth:SecondMoment	ReturnWidth:Variance	ReturnWidth:Sum	ReturnWidth:Min	ReturnWidth:Max	BorrowedWidth:Average	BorrowedWidth:SecondMoment	BorrowedWidth:Variance	BorrowedWidth:Sum	BorrowedWidth:Min	BorrowedWidth:Max
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Implementation.Interface_Clifford	Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalPauli	Body	6	1	1	0	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalPauli	Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.X	Body	6	1	1	0	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.X	Body	Quantum.ResourcesTutorial.ApplyZebraOracle	Body	6	1	1	0	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Implementation.Interface_Clifford	Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalH	Body	2	1	1	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalH	Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.H	Body	2	1	1	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.H	Body	Quantum.ResourcesTutorial.ApplyZebraOracle	Body	2	1	1	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Implementation.Interface_CX	Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalCX	Body	2	2	4	0	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalCX	Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CNOT	Body	2	2	4	0	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CNOT	Body	Quantum.ResourcesTutorial.ApplyZebraOracle	Body	2	2	4	0	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Implementation.Interface_Clifford	Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalPauli	Adjoint	6	1	1	0	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalPauli	Adjoint	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.X	Adjoint	6	1	1	0	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.X	Adjoint	Quantum.ResourcesTutorial.ApplyZebraOracle	Body	6	1	1	0	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Implementation.Interface_Clifford	Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalH	Adjoint	2	1	1	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalH	Adjoint	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.H	Adjoint	2	1	1	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.H	Adjoint	Quantum.ResourcesTutorial.ApplyZebraOracle	Body	2	1	1	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Quantum.ResourcesTutorial.ApplyZebraOracle	Body	Quantum.ResourcesTutorial.ApplyOracles	Body	2	3	9	0	6	3	3	1	1	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Quantum.ResourcesTutorial.ApplyOracles	Body	[[root]]	Body	1	0	0	NaN	0	0	0	7	49	NaN	7	7	7	0	0	NaN	0	0	0	0	0	NaN	0	0	0
